iter	Passed	Remaining
674	36556	71704
675	36600	71629
676	36647	71563
677	36697	71499
678	36744	71433
679	36802	71386
680	36847	71315
681	36891	71239
682	36935	71167
683	36975	71085
684	37031	71035
685	37079	70970
686	37136	70921
687	37184	70855
688	37235	70795
689	37280	70724
690	37321	70646
691	37370	70583
692	37429	70539
693	37472	70463
694	37516	70391
695	37570	70337
696	37625	70284
697	37676	70225
698	37717	70147
699	37760	70072
700	37810	70012
701	37853	69936
702	37896	69863
703	37952	69812
704	37994	69737
705	38044	69676
706	38098	69622
707	38139	69545
708	38185	69477
709	38232	69411
710	38279	69344
711	38332	69289
712	38388	69239
713	38432	69168
714	38488	69118
715	38538	69057
716	38578	68978
717	38621	68906
718	38671	68845
719	38727	68794
720	38773	68727
721	38819	68660
722	38873	68606
723	38927	68552
724	38977	68492
725	39024	68427
726	39075	68368
727	39132	68320
728	39186	68267
729	39251	68232
730	39307	68183
731	39351	68113
732	39400	68051
733	39454	67997
734	39506	67939
735	39551	67871
736	39600	67809
737	39656	67760
738	39708	67702
739	39752	67633
740	39797	67563
741	39841	67494
742	39902	67452
743	39946	67382
744	40001	67331
745	40050	67269
746	40103	67215
747	40150	67149
748	40193	67078
749	40245	67022
750	40296	66964
751	40345	66902
752	40386	66828
753	40444	66781
754	40484	66706
755	40528	66636
756	40583	66585
757	40625	66512
758	40684	66467
759	40728	66398
760	40778	66339
761	40831	66283
762	40883	66227
763	40931	66166
764	40979	66103
765	41032	66047
766	41079	65984
767	41124	65916
768	41170	65851
769	41217	65787
770	41268	65729
771	41313	65663
772	41371	65615
773	41419	65553
774	41464	65486
775	41518	65434
776	41565	65371
777	41624	65326
778	41674	65266
779	41721	65203
780	41781	65159
781	41824	65090
782	41871	65025
783	41928	64978
784	41980	64922
785	42024	64855
786	42080	64805
787	42130	64746
788	42175	64680
789	42225	64620
790	42270	64555
791	42337	64522
792	42385	64460
793	42445	64416
794	42496	64358
795	42544	64298
796	42595	64240
797	42643	64178
798	42699	64128
799	42745	64064
800	42799	64012
801	42841	63941
802	42889	63880
803	42941	63825
804	42989	63762
805	43036	63700
806	43094	63653
807	43141	63591
808	43187	63527
809	43231	63459
810	43287	63410
811	43333	63345
812	43382	63285
813	43428	63221
814	43486	63175
815	43543	63127
816	43600	63079
817	43647	63016
818	43705	62970
819	43752	62908
820	43802	62848
821	43858	62800
822	43906	62739
823	43962	62689
824	44006	62621
825	44066	62578
826	44117	62521
827	44161	62455
828	44220	62410
829	44276	62359
830	44324	62299
831	44375	62243
832	44435	62198
833	44485	62140
834	44528	62073
835	44586	62026
836	44633	61964
837	44681	61902
838	44731	61845
839	44778	61783
840	44819	61714
841	44870	61657
842	44916	61593
843	44959	61526
844	45016	61477
845	45064	61417
846	45118	61364
847	45164	61302
848	45215	61245
849	45260	61181
850	45303	61114
851	45349	61052
852	45403	60999
853	45453	60941
854	45513	60896
855	45561	60837
856	45615	60785
857	45659	60720
858	45710	60663
859	45761	60607
860	45808	60546
861	45864	60496
862	45921	60447
863	45967	60385
864	46011	60320
865	46058	60259
866	46103	60195
867	46155	60140
868	46205	60083
869	46253	60023
870	46299	59961
871	46347	59900
872	46394	59839
873	46449	59789
874	46495	59726
875	46542	59665
876	46585	59599
877	46636	59544
878	46688	59489
879	46739	59434
880	46788	59374
881	46830	59308
882	46875	59244
883	46925	59187
884	46982	59139
885	47023	59071
886	47073	59014
887	47129	58964
888	47172	58898
889	47230	58851
890	47281	58797
891	47331	58740
892	47390	58693
893	47443	58640
894	47509	58603
895	47559	58547
896	47625	58510
897	47676	58453
898	47727	58398
899	47786	58353
900	47834	58293
901	47885	58237
902	47939	58185
903	47984	58123
904	48030	58061
905	48074	57996
906	48131	57948
907	48183	57893
908	48233	57837
909	48280	57777
910	48339	57731
911	48383	57668
912	48437	57615
913	48488	57559
914	48544	57510
915	48594	57454
916	48646	57399
917	48696	57343
918	48742	57281
919	48799	57233
920	48847	57174
921	48896	57116
922	48947	57061
923	48997	57005
924	49044	56945
925	49092	56886
926	49140	56827
927	49191	56771
928	49247	56722
929	49296	56664
930	49345	56606
931	49389	56544
932	49444	56492
933	49500	56442
934	49548	56384
935	49597	56327
936	49648	56272
937	49692	56209
938	49735	56144
939	49789	56092
940	49849	56048
941	49905	55997
942	49959	55946
943	50011	55891
944	50059	55833
945	50103	55770
946	50151	55712
947	50201	55656
948	50246	55594
949	50292	55533
950	50337	55471
951	50379	55406
952	50428	55349
953	50476	55291
954	50527	55236
955	50576	55179
956	50627	55124
957	50676	55067
958	50725	55010
959	50772	54951
960	50825	54898
961	50875	54841
962	50928	54788
963	50978	54733
964	51033	54682
965	51090	54633
966	51138	54575
967	51188	54519
968	51232	54457
969	51274	54392
970	51322	54334
971	51374	54281
972	51421	54222
973	51474	54169
974	51520	54109
975	51573	54057
976	51626	54003
977	51670	53942
978	51720	53886
979	51771	53831
980	51823	53777
981	51871	53719
982	51914	53656
983	51965	53603
984	52013	53545
985	52063	53489
986	52109	53429
987	52160	53374
988	52203	53312
989	52249	53252
990	52298	53195
991	52351	53142
992	52396	53082
993	52444	53024
994	52488	52962
995	52536	52905
996	52583	52847
997	52627	52785
998	52675	52728
999	52725	52672
1000	52773	52614
1001	52819	52555
1002	52864	52495
1003	52914	52440
1004	52961	52381
1005	53008	52323
1006	53055	52264
1007	53102	52207
1008	53152	52151
1009	53195	52089
1010	53246	52034
1011	53291	51974
1012	53340	51918
1013	53387	51860
1014	53434	51802
1015	53483	51746
1016	53529	51687
1017	53576	51629
1018	53625	51573
1019	53671	51514
1020	53721	51459
1021	53773	51405
1022	53823	51350
